id,source_raw_id,raw_topic,normalized_topic,category,region,trend_score,growth_status,explanation,source_file,processed_at
11333,,aston villa vs liverpool,Aston Villa Vs Liverpool,General,AE,100.0,exploding,Aston Villa Vs Liverpool is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11334,,bangladesh vs pakistan,Bangladesh Vs Pakistan,General,AE,100.0,exploding,Bangladesh Vs Pakistan is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11335,,strait of hormuz,Strait Of Hormuz,General,AE,100.0,exploding,Strait Of Hormuz is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11336,,chennai super kings vs lucknow super giants standings,Chennai Super Kings Vs Lucknow Super Giants Standings,General,AE,100.0,exploding,Chennai Super Kings Vs Lucknow Super Giants Standings is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11337,,കപ്പല്,Unknown,General,AE,100.0,exploding,Unknown is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11338,,eid al adha visa options,Eid Al Adha Visa Options,General,AE,100.0,exploding,Eid Al Adha Visa Options is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11339,,swatch x ap,Swatch X Ap,General,AE,100.0,exploding,Swatch X Ap is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11340,,rupee,Rupee,General,AE,100.0,exploding,Rupee is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11341,,usa vs nep,Usa Vs Nep,General,AE,100.0,exploding,Usa Vs Nep is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11342,,monica elfriede witt,Monica Elfriede Witt,General,AE,100.0,exploding,Monica Elfriede Witt is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11343,,akash singh,Akash Singh,General,AE,100.0,exploding,Akash Singh is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11344,,india uae defence pacts,India Uae Defence Pacts,General,AE,100.0,exploding,India Uae Defence Pacts is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11345,,fa cup,Fa Cup,General,AE,100.0,exploding,Fa Cup is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11346,,donald trump,Donald Trump,General,AE,100.0,exploding,Donald Trump is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11347,,aldar,Aldar,General,AE,100.0,exploding,Aldar is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11348,,timberwolves vs spurs,Timberwolves Vs Spurs,General,AE,100.0,exploding,Timberwolves Vs Spurs is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11349,,missile,Missile,General,AE,100.0,exploding,Missile is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11350,,jannik sinner,Jannik Sinner,General,AE,100.0,exploding,Jannik Sinner is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11351,,anshul kamboj,Anshul Kamboj,General,AE,100.0,exploding,Anshul Kamboj is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11352,,dawood ibrahim,Dawood Ibrahim,General,AE,100.0,exploding,Dawood Ibrahim is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11353,,g karthikeyan,G Karthikeyan,General,AE,100.0,exploding,G Karthikeyan is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11354,,mohamed salah,Mohamed Salah,General,AE,100.0,exploding,Mohamed Salah is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11355,,cavaliers vs pistons,Cavaliers Vs Pistons,General,AE,100.0,exploding,Cavaliers Vs Pistons is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11356,,mukul choudhary,Mukul Choudhary,General,AE,100.0,exploding,Mukul Choudhary is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11357,,iphone,Iphone,Tech,AE,100.0,exploding,Iphone is a Tech trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11358,,kartavya,Kartavya,General,AE,100.0,exploding,Kartavya is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11359,,pakistan women vs zimbabwe women,Pakistan Women Vs Zimbabwe Women,General,AE,100.0,exploding,Pakistan Women Vs Zimbabwe Women is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11360,,fatima sana,Fatima Sana,General,AE,100.0,exploding,Fatima Sana is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11361,,icc,Icc,General,AE,100.0,exploding,Icc is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11362,,sinner,Sinner,General,AE,100.0,exploding,Sinner is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11363,,dhurandhar,Dhurandhar,General,AE,100.0,exploding,Dhurandhar is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11364,,dewald brevis,Dewald Brevis,General,AE,100.0,exploding,Dewald Brevis is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11365,,prashant veer,Prashant Veer,General,AE,100.0,exploding,Prashant Veer is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11366,,kerala sslc result 2026,Kerala Sslc Result 2026,Education,AE,100.0,exploding,Kerala Sslc Result 2026 is an Education trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11367,,derby,Derby,General,AE,100.0,exploding,Derby is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11368,,al wasl vs kalba,Al Wasl Vs Kalba,General,AE,100.0,exploding,Al Wasl Vs Kalba is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11369,,apple iphone 18 pro max,Apple Iphone 18 Pro Max,Tech,AE,100.0,exploding,Apple Iphone 18 Pro Max is a Tech trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11370,,abdul samad,Abdul Samad,General,AE,100.0,exploding,Abdul Samad is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11371,,prince yadav,Prince Yadav,General,AE,100.0,exploding,Prince Yadav is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11372,,mohammed shami,Mohammed Shami,General,AE,100.0,exploding,Mohammed Shami is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11373,,mohammedan vs mumbai city,Mohammedan Vs Mumbai City,General,AE,100.0,exploding,Mohammedan Vs Mumbai City is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11374,,air india,Air India,General,AE,100.0,exploding,Air India is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11375,,eid al-adha 2026 uae holidays,Eid Al Adha 2026 Uae Holidays,General,AE,100.0,exploding,Eid Al Adha 2026 Uae Holidays is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11376,,rj balaji,Rj Balaji,General,AE,100.0,exploding,Rj Balaji is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11377,,pati patni aur woh do,Pati Patni Aur Woh Do,General,AE,100.0,exploding,Pati Patni Aur Woh Do is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11378,,phoenix vs ginebra,Phoenix Vs Ginebra,General,AE,100.0,exploding,Phoenix Vs Ginebra is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11379,,italian open,Italian Open,General,AE,100.0,exploding,Italian Open is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11380,,kuldip yadav,Kuldip Yadav,General,AE,100.0,exploding,Kuldip Yadav is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11381,,sharjah vs khor fakkan,Sharjah Vs Khor Fakkan,General,AE,100.0,exploding,Sharjah Vs Khor Fakkan is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11382,,ms dhoni,Ms Dhoni,General,AE,100.0,exploding,Ms Dhoni is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11383,,pete hegseth,Pete Hegseth,General,AE,100.0,exploding,Pete Hegseth is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11384,,macneil hadley noronha,Macneil Hadley Noronha,General,AE,100.0,exploding,Macneil Hadley Noronha is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11385,,premier league games,Premier League Games,Gaming,AE,100.0,exploding,Premier League Games is a Gaming trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11386,,ipl today,IPL Cricket,Sports,AE,75.0,rising,IPL Cricket is a Sports trend in AE with rising interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11387,,qatar airways,Qatar Airways,General,AE,50.0,rising,Qatar Airways is a General trend in AE with rising interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11388,,drishyam 3,Drishyam 3,General,AE,100.0,exploding,Drishyam 3 is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11389,,aston villa - liverpool,Aston Villa Liverpool,General,AR,100.0,exploding,Aston Villa Liverpool is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11390,,ola de frío,Ola De Fr O,General,AR,100.0,exploding,Ola De Fr O is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11391,,desdolarización,Desdolarizaci N,General,AR,100.0,exploding,Desdolarizaci N is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11392,,tendencia,Tendencia,General,AR,100.0,exploding,Tendencia is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11393,,beca,Beca,General,AR,100.0,exploding,Beca is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11394,,posiciones de racing de córdoba contra central norte,Posiciones De Racing De C Rdoba Contra Central Norte,General,AR,100.0,exploding,Posiciones De Racing De C Rdoba Contra Central Norte is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11395,,luis miguel,Luis Miguel,General,AR,100.0,exploding,Luis Miguel is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11396,,mclaren,Mclaren,General,AR,100.0,exploding,Mclaren is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11397,,gta vi,Gta Vi,General,AR,100.0,exploding,Gta Vi is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11398,,spurs - timberwolves,Spurs Timberwolves,General,AR,100.0,exploding,Spurs Timberwolves is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11399,,malcorra,Malcorra,General,AR,100.0,exploding,Malcorra is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11400,,blanca vicuña ardohain,Blanca Vicu A Ardohain,General,AR,100.0,exploding,Blanca Vicu A Ardohain is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11401,,jacob elordi,Jacob Elordi,General,AR,100.0,exploding,Jacob Elordi is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11402,,claudio borghi,Claudio Borghi,General,AR,100.0,exploding,Claudio Borghi is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11403,,playa,Playa,General,AR,100.0,exploding,Playa is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11404,,diego latorre,Diego Latorre,General,AR,100.0,exploding,Diego Latorre is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11405,,indio solari,Indio Solari,General,AR,100.0,exploding,Indio Solari is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11406,,olimpia - deportivo recoleta,Olimpia Deportivo Recoleta,General,AR,100.0,exploding,Olimpia Deportivo Recoleta is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11407,,movistar arena,Movistar Arena,General,AR,100.0,exploding,Movistar Arena is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11408,,nicolás varrone,Nicol S Varrone,General,AR,100.0,exploding,Nicol S Varrone is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11409,,cavaliers - pistons,Cavaliers Pistons,General,AR,100.0,exploding,Cavaliers Pistons is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11410,,universitario - atlético grau,Universitario Atl Tico Grau,General,AR,100.0,exploding,Universitario Atl Tico Grau is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11411,,sinner,Sinner,General,AR,100.0,exploding,Sinner is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11412,,john travolta,John Travolta,General,AR,100.0,exploding,John Travolta is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11413,,anabel fernández sagasti,Anabel Fern Ndez Sagasti,General,AR,100.0,exploding,Anabel Fern Ndez Sagasti is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11414,,jannik sinner,Jannik Sinner,General,AR,100.0,exploding,Jannik Sinner is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11415,,torque - nacional,Torque Nacional,General,AR,100.0,exploding,Torque Nacional is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11416,,juez,Juez,General,AR,100.0,exploding,Juez is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11417,,rugby,Rugby,General,AR,100.0,exploding,Rugby is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11418,,concesión,Concesi N,General,AR,100.0,exploding,Concesi N is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11419,,berlin serie,Berlin Serie,General,AR,100.0,exploding,Berlin Serie is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11420,,stephanie demner,Stephanie Demner,General,AR,100.0,exploding,Stephanie Demner is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11421,,peter phillips,Peter Phillips,General,AR,100.0,exploding,Peter Phillips is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11422,,outlander,Outlander,General,AR,100.0,exploding,Outlander is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11423,,tasa,Tasa,General,AR,100.0,exploding,Tasa is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11424,,instituto de previsión social,Instituto De Previsi N Social,General,AR,100.0,exploding,Instituto De Previsi N Social is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11425,,ldu quito - técnico universitario,Ldu Quito T Cnico Universitario,General,AR,100.0,exploding,Ldu Quito T Cnico Universitario is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11426,,fc cajamarca - sporting cristal,Fc Cajamarca Sporting Cristal,General,AR,100.0,exploding,Fc Cajamarca Sporting Cristal is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11427,,liverpool,Liverpool,General,AR,100.0,exploding,Liverpool is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11428,,yūto nagatomo,Y To Nagatomo,General,AR,100.0,exploding,Y To Nagatomo is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11429,,darderi,Darderi,General,AR,100.0,exploding,Darderi is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11430,,ángel di maría,Ngel Di Mar A,General,AR,100.0,exploding,Ngel Di Mar A is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11431,,nagatomo,Nagatomo,General,AR,100.0,exploding,Nagatomo is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11432,,santiago del moro,Santiago Del Moro,General,AR,100.0,exploding,Santiago Del Moro is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11433,,banco nacional de datos genéticos,Banco Nacional De Datos Gen Ticos,General,AR,100.0,exploding,Banco Nacional De Datos Gen Ticos is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11434,,alta montaña,Alta Monta A,General,AR,100.0,exploding,Alta Monta A is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11435,,senador,Senador,General,AR,100.0,exploding,Senador is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11436,,pablo moyano,Pablo Moyano,General,AR,100.0,exploding,Pablo Moyano is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11437,,macri,Macri,General,AR,100.0,exploding,Macri is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11438,,the punisher,The Punisher,General,AR,100.0,exploding,The Punisher is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11439,,millonarios,Millonarios,General,AR,100.0,exploding,Millonarios is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11440,,marcos senesi,Marcos Senesi,General,AR,100.0,exploding,Marcos Senesi is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11441,,sanción,Sanci N,General,AR,100.0,exploding,Sanci N is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11442,,toyota hilux,Toyota Hilux,General,AR,100.0,exploding,Toyota Hilux is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11443,,15 de mayo que se celebra,15 De Mayo Que Se Celebra,General,AR,100.0,exploding,15 De Mayo Que Se Celebra is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11444,,macaya,Macaya,General,AR,100.0,exploding,Macaya is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11445,,saint etienne,Saint Etienne,General,AR,100.0,exploding,Saint Etienne is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11446,,liverpool fc,Liverpool Fc,General,AR,100.0,exploding,Liverpool Fc is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11447,,peces pene,Peces Pene,General,AR,100.0,exploding,Peces Pene is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11448,,mario pergolini,Mario Pergolini,General,AR,100.0,exploding,Mario Pergolini is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11449,,matías fernández-pardo,Mat As Fern Ndez Pardo,General,AR,100.0,exploding,Mat As Fern Ndez Pardo is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11450,,mercado cambiario,Mercado Cambiario,General,AR,100.0,exploding,Mercado Cambiario is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11451,,joaquin levinton,Joaquin Levinton,General,AR,100.0,exploding,Joaquin Levinton is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11452,,ortigoza,Ortigoza,General,AR,100.0,exploding,Ortigoza is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11453,,quiniela de tucuman,Quiniela De Tucuman,General,AR,50.0,rising,Quiniela De Tucuman is a General trend in AR with rising interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11454,,besiktas,Besiktas,General,AR,100.0,exploding,Besiktas is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11455,,fenómeno,Fen Meno,General,AR,100.0,exploding,Fen Meno is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11456,,anthropic,Anthropic,General,AR,100.0,exploding,Anthropic is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11457,,panini,Panini,General,AR,100.0,exploding,Panini is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11458,,álbum tapa dura mundial 2026,Lbum Tapa Dura Mundial 2026,General,AR,100.0,exploding,Lbum Tapa Dura Mundial 2026 is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11459,,ioma,Ioma,General,AR,100.0,exploding,Ioma is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11460,,la página millonaria,La P Gina Millonaria,General,AR,100.0,exploding,La P Gina Millonaria is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11461,,nvidia,Nvidia,General,AR,100.0,exploding,Nvidia is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11462,,arjona en cordoba,Arjona En Cordoba,General,AR,100.0,exploding,Arjona En Cordoba is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11463,,final de la fa cup,Final De La Fa Cup,General,AR,100.0,exploding,Final De La Fa Cup is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11464,,coquimbo unido - audax italiano,Coquimbo Unido Audax Italiano,General,AR,100.0,exploding,Coquimbo Unido Audax Italiano is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11465,,charly garcia,Charly Garcia,General,AR,100.0,exploding,Charly Garcia is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11466,,daniil medvédev,Daniil Medv Dev,General,AR,100.0,exploding,Daniil Medv Dev is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11467,,ebola,Ebola,General,AR,100.0,exploding,Ebola is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11468,,diputado tesla,Diputado Tesla,General,AR,100.0,exploding,Diputado Tesla is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11469,,corte suprema,Corte Suprema,General,AR,100.0,exploding,Corte Suprema is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11470,,mauricio macri,Mauricio Macri,General,AR,100.0,exploding,Mauricio Macri is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11471,,virginia fonseca,Virginia Fonseca,General,AR,100.0,exploding,Virginia Fonseca is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11472,,maldivas,Maldivas,General,AR,100.0,exploding,Maldivas is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11473,,liverpool football club,Liverpool Football Club,Sports,AR,100.0,exploding,Liverpool Football Club is a Sports trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11474,,el cronista,El Cronista,General,AR,100.0,exploding,El Cronista is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11475,,viernes,Viernes,General,AR,100.0,exploding,Viernes is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11476,,a qué hora juega river mañana,A Qu Hora Juega River Ma Ana,General,AR,100.0,exploding,A Qu Hora Juega River Ma Ana is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11477,,yanina zilli,Yanina Zilli,General,AR,100.0,exploding,Yanina Zilli is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11478,,ruud,Ruud,General,AR,100.0,exploding,Ruud is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11479,,guido kaczka,Guido Kaczka,General,AR,100.0,exploding,Guido Kaczka is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11480,,entre ríos,Entre R Os,General,AR,100.0,exploding,Entre R Os is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11481,,grecia colmenares,Grecia Colmenares,General,AR,100.0,exploding,Grecia Colmenares is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11482,,alejandro tabilo,Alejandro Tabilo,General,AR,100.0,exploding,Alejandro Tabilo is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11483,,the coca-cola company,The Coca Cola Company,General,AR,100.0,exploding,The Coca Cola Company is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11484,,ucp,Ucp,General,AR,100.0,exploding,Ucp is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11485,,coca cola,Coca Cola,General,AR,75.0,rising,Coca Cola is a General trend in AR with rising interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11486,,negocio,Negocio,General,AR,100.0,exploding,Negocio is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11487,,astana,Astana,General,AR,100.0,exploding,Astana is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11488,,dua lipa,Dua Lipa,General,AR,100.0,exploding,Dua Lipa is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11489,,camilo ugo carabelli,Camilo Ugo Carabelli,General,AR,100.0,exploding,Camilo Ugo Carabelli is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11490,,chanchi estevez,Chanchi Estevez,General,AR,100.0,exploding,Chanchi Estevez is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11491,,honor,Honor,General,AR,100.0,exploding,Honor is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11492,,inti,Inti,General,AR,100.0,exploding,Inti is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11493,,nicolás cabré,Nicol S Cabr,General,AR,100.0,exploding,Nicol S Cabr is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11494,,zeballos,Zeballos,General,AR,100.0,exploding,Zeballos is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11495,,clima comodoro rivadavia,Clima Comodoro Rivadavia,General,AR,100.0,exploding,Clima Comodoro Rivadavia is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11496,,agustín aristarán,Agust N Aristar N,General,AR,100.0,exploding,Agust N Aristar N is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11497,,cabildo,Cabildo,General,AR,100.0,exploding,Cabildo is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11498,,aumento tarjeta alimentar,Aumento Tarjeta Alimentar,General,AR,100.0,exploding,Aumento Tarjeta Alimentar is a General trend in AR with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11499,,aspen radio,Aspen Radio,General,AR,75.0,rising,Aspen Radio is a General trend in AR with rising interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11500,,el litoral,El Litoral,General,AR,50.0,rising,El Litoral is a General trend in AR with rising interest.,latest.json,2026-05-16T10:11:45.116961+00:00
